iter	RMSE
740	7435.416089
741	7425.954786
742	7410.984864
743	7399.055759
744	7393.642774
745	7389.355095
746	7378.761521
747	7367.71387
748	7364.437897
749	7358.999083
750	7354.038838
751	7347.79418
752	7332.245005
753	7331.564916
754	7328.437769
755	7319.365732
756	7308.629748
757	7301.743687
758	7299.494134
759	7295.925827
760	7282.581077
761	7277.625797
762	7266.849422
763	7263.648511
764	7257.706456
765	7252.221279
766	7245.044532
767	7242.208679
768	7230.421654
769	7227.906354
770	7219.210678
771	7213.412443
772	7212.889356
773	7212.399873
774	7205.291178
775	7196.155492
776	7187.422509
777	7186.894913
778	7174.309662
779	7165.173638
780	7163.337635
781	7144.638947
782	7135.296471
783	7128.867971
784	7128.369176
785	7119.467671
786	7117.799277
787	7109.742881
788	7095.846787
789	7088.184591
790	7070.595276
791	7056.929028
792	7050.06754
793	7037.219742
794	7032.23065
795	7019.035984
796	7007.181632
797	6999.784036
798	6991.545821
799	6976.669855
800	6966.644959
801	6958.53783
802	6950.788092
803	6943.096617
804	6937.342882
805	6928.668783
806	6921.577441
807	6915.901386
808	6910.388357
809	6899.223652
810	6897.500042
811	6885.744736
812	6876.772386
813	6870.559332
814	6870.118328
815	6864.499831
816	6855.700312
817	6849.759034
818	6843.39444
819	6832.800053
820	6824.685208
821	6814.411118
822	6811.874115
823	6806.536773
824	6796.902545
825	6795.002268
826	6789.26461
827	6779.025493
828	6768.001015
829	6753.988645
830	6751.594419
831	6740.248404
832	6731.147259
833	6725.020098
834	6715.934339
835	6708.62422
836	6702.393753
837	6696.730457
838	6688.939555
839	6685.781152
840	6674.510987
841	6672.159444
842	6666.406515
843	6661.781019
844	6660.266776
845	6653.032983
846	6641.393454
847	6637.419468
848	6630.080157
849	6624.646287
850	6619.964303
851	6615.705949
852	6606.477229
853	6594.301539
854	6588.336332
855	6577.829246
856	6577.365691
857	6567.310499
858	6553.473549
859	6545.021752
860	6537.318683
861	6524.906552
862	6518.867745
863	6518.405526
864	6506.835593
865	6497.37808
866	6490.28269
867	6483.02013
868	6476.180478
869	6466.86296
870	6457.639653
871	6452.815155
872	6452.355912
873	6450.135353
874	6438.883442
875	6438.427526
876	6425.901303
877	6416.747895
878	6407.327974
879	6394.947501
880	6394.50242
881	6390.17392
882	6383.214054
883	6376.607765
884	6365.428953
885	6357.417507
886	6350.081763
887	6339.158805
888	6336.965984
889	6328.390553
890	6320.572785
891	6313.699518
892	6306.550888
893	6299.02907
894	6291.918574
895	6284.666711
896	6279.533331
897	6270.163458
898	6260.407847
899	6251.474517
900	6246.6276
901	6237.93319
902	6237.518426
903	6225.035902
904	6216.312642
905	6215.951526
906	6209.477507
907	6203.579022
908	6197.691529
909	6184.162467
910	6178.055991
911	6165.634818
912	6156.33805
913	6146.966401
914	6141.395935
915	6132.306922
916	6129.301021
917	6124.085761
918	6118.262033
919	6113.433268
920	6109.819005
921	6103.88115
922	6098.971482
923	6094.499301
924	6085.628395
925	6085.218327
926	6074.812318
927	6062.310321
928	6053.746217
929	6047.02032
930	6032.793805
931	6026.640656
932	6022.676502
933	6016.246694
934	6011.528811
935	6002.218609
936	5999.160093
937	5993.708989
938	5986.012903
939	5977.654527
940	5972.707469
941	5966.547174
942	5964.033775
943	5963.508188
944	5957.08694
945	5947.523652
946	5946.28842
947	5943.805955
948	5938.390674
949	5932.142938
950	5929.825125
951	5924.891976
952	5916.54688
953	5909.435292
954	5897.683129
955	5891.045827
956	5890.577821
957	5876.814172
958	5868.59516
959	5862.519449
960	5857.372712
961	5849.147924
962	5840.036909
963	5835.870457
964	5835.103714
965	5829.26583
966	5824.39414
967	5816.923532
968	5814.210964
969	5812.078414
970	5806.506278
971	5801.371282
972	5793.869765
973	5788.108357
974	5779.68743
975	5779.098096
976	5774.485771
977	5769.843325
978	5762.904495
979	5757.660315
980	5748.209832
981	5739.219119
982	5733.715869
983	5727.854385
984	5721.480772
985	5715.98144
986	5710.06805
987	5699.586457
988	5692.493821
989	5688.069402
990	5680.971469
991	5674.768925
992	5668.785257
993	5661.313778
994	5656.805308
995	5644.655092
996	5638.562066
997	5634.721406
998	5628.564371
999	5621.196685
